station_id,num_bikes_available,num_docks_available,is_installed,is_returning,is_renting,time,stationCode,mechanical_bike_available,electrical_bike_available,station_name,latitude,longitude,capacity,credit_card
39799329,9,26,True,True,True,2024-12-07 05:21:17,9014,6,3,Faubourg Montmartre - La Fayette,48.875254549053,2.3408536612988,35,True
210582921,7,20,True,True,True,2024-12-07 05:26:16,9106,4,3,Boudreau - Auber,48.87219,2.329423,28,
208795867,8,9,True,True,True,2024-12-07 05:27:41,19105,0,8,Ambroise Rendu - Porte Brunet,48.883667,2.395733,17,
82567101,12,14,True,True,True,2024-12-07 05:26:14,31706,0,12,Château - République,48.862923800596,2.4155035614967,26,
457813746,5,11,True,True,True,2024-12-07 05:19:20,22409,0,5,Henri Barbusse - Stalingrad,48.814183748660554,2.2872862592339516,16,True
50191171,17,6,True,True,True,2024-12-07 05:25:36,19015,7,10,Thionville - Ourcq,48.88917613743794,2.3833653330802917,24,True
129014600,2,30,True,True,True,2024-12-07 05:27:23,9022,2,0,Rossini - Laffitte,48.87334627510507,2.337980867701675,33,
3906153622,16,0,True,True,True,2024-12-07 05:25:50,26003,6,10,Argenteuil - Voltaire,48.91864865955558,2.2814112156629562,16,
129087587,10,29,True,True,True,2024-12-07 05:25:40,17004,6,4,Legendre - Clichy,48.88896161855884,2.322528975094376,40,True
213693511,5,18,True,True,True,2024-12-07 05:24:03,19003,2,3,Quai de la Seine,48.884492238407525,2.3703941702842717,24,True
82379648,3,30,True,True,True,2024-12-07 05:18:35,8036,1,2,Lisbonne - Monceau,48.87745567681383,2.309694221419506,33,True
66491397,55,4,True,True,True,2024-12-07 05:27:31,12151,39,16,Gare de Lyon - Place Louis Armand,48.845515089794,2.3726498446286,60,True
2515995748,3,19,True,True,True,2024-12-07 05:27:30,92007,0,3,Pesaro - Préfecture,48.89577046284005,2.223908342421055,22,True
27363162,8,0,True,True,True,2024-12-07 05:24:57,16026,0,8,Ranelagh - Mozart,48.8554439,2.2704418,8,True
129021753,0,14,True,True,True,2024-12-07 05:18:59,9028,0,0,Moncey - Blanche,48.88006587474148,2.3310810327529907,17,
210740080,18,31,True,True,True,2024-12-07 05:22:45,10107,6,12,Gare du Nord - Hôpital Lariboisière,48.881949,2.352339,49,
3906094706,36,3,True,True,True,2024-12-07 05:25:37,26002,26,10,Redoute - Les Courtilles,48.929867194519,2.2836696356535,40,
80216231,3,34,True,True,True,2024-12-07 05:27:37,17043,1,2,Belidor - Gouvion-Saint-Cyr,48.88022154052015,2.2854680567979813,39,True
336511521,6,9,True,True,True,2024-12-07 05:26:44,19026,0,6,Place de Rhin et Danube,48.88192765861766,2.392586767673493,17,
82562556,31,15,True,True,True,2024-12-07 05:27:28,16039,26,5,Exelmans - Versailles,48.84097491091973,2.264390252530575,49,True
129048000,46,0,True,True,True,2024-12-07 05:27:56,11023,36,10,Saint-Maur - Roquette,48.858688774062955,2.383553994571467,46,True
1062250686,10,26,True,True,True,2024-12-07 05:26:40,45003,5,5,11 Novembre 1918 - 8 Mai 1945,48.80889533774377,2.5382421165704727,36,
129043651,13,4,True,True,True,2024-12-07 05:25:58,11002,9,4,Roquette - Thiéré,48.85507930579506,2.3733686318721463,23,True
27363489,12,15,True,True,True,2024-12-07 05:22:15,12111,4,8,Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,27,
39296638,6,29,True,True,True,2024-12-07 05:20:40,8034,4,2,Berri - Haussmann,48.874746047357135,2.3082953318953514,35,
813544903,19,10,True,True,True,2024-12-07 05:26:13,11047,18,1,Amelot - Saint-Sébastien,48.861142162761,2.3677996181077,30,
205938683,3,49,True,True,True,2024-12-07 05:26:32,19043,0,3,Delphine Seyrig - Général Leclerc,48.893923963057865,2.39790290594101,53,
